step,max_kl,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,collisions,collisions_human,fuel,circumference,reward_mean,value_mean,ret_mean,adv_mean,explained_variance,rollout_end_time,value_loss,policy_loss,final_policy_loss,i_scale,kl,entropy,gd_time,total_time
53,0.01,0.0001,10.1867,1000,3.85034,3.85157,1.33967,3.85031,0,0,718.756,640,-1.78283e-05,0.0556954,0.0608758,0.00518686,-0.0475984,0.168144,0.00267485,-0.0105817,-0.0125963,0,0.00563606,2.58027,0.256092,1600.78
54,0.01,0.0001,11.8823,1367.67,7.30889,8.30789,2.88938,7.28353,0.666667,0.333333,1099.76,640,0.00021076,0.0565735,0.077845,0.0212691,-0.0723291,0.205208,0.0024741,-0.0449989,-0.0476317,0,0.00498291,2.58312,0.23687,1616.73
55,0.01,0.0001,9.32122,480,6.6866,7.60181,4.26564,6.66319,2,1,438.059,640,-0.000829145,0.0598573,0.00936584,-0.0504915,-0.138898,0.174158,0.00322052,-0.00445647,-0.00710153,0,0.00617163,2.5963,0.253849,1649.33
56,0.01,0.0001,9.61473,666.667,2.57808,2.60728,1.08399,2.57733,0,0,482.353,640,-0.000121815,0.0591503,0.0521912,-0.00690798,-0.103123,0.177194,0.00241464,-0.0195701,-0.0224138,0,0.00606413,2.61462,0.258054,1670.18
57,0.01,0.0001,13.271,2000,7.90436,7.70598,2.98783,7.90945,0,0,1531.52,640,0.000561305,0.0604055,0.115466,0.0551295,-0.027206,0.259105,0.00567127,-0.0661174,-0.0690787,0,0.00466348,2.61448,0.259012,1684.64
58,0.01,0.0001,13.0321,2000,8.06592,8.11344,3.48836,8.0647,0,0,1514.25,640,0.000833821,0.0619678,0.117868,0.0557928,-0.00387304,0.322645,0.00453984,-0.0557928,-0.0609068,0,0.00472171,2.62088,0.37864,1698.72
59,0.01,0.0001,11.7192,570,7.24331,7.68148,4.39061,7.2321,2,1,546.26,640,-6.87982e-05,0.0640461,0.0307825,-0.0332636,-0.12796,0.248774,0.00199632,-0.0131946,-0.0148905,0,0.00424286,2.62059,0.2421,1725.11
60,0.01,0.0001,13.3227,2000,7.6645,7.80606,3.14581,7.66087,0,0,1546.8,640,0.000590037,0.0645727,0.129593,0.0651341,-0.0168386,0.23354,0.00863366,-0.0868759,-0.092965,0,0.00535654,2.62965,0.273573,1739.16
61,0.01,0.0001,7.56497,0,0,0,0,0,0,0,0,640,4.32539e-05,0.066913,0.0337706,-0.0331425,-0.0213687,0.177296,0.00115956,-0.00532648,-0.00684332,0,0.00598766,2.60657,0.265278,1760.97
62,0.01,0.0001,10.3524,1000,3.64721,3.56489,1.45757,3.64932,0,0,750.844,640,-2.38293e-05,0.0681818,0.0574738,-0.0107319,-0.12545,0.217302,0.00239881,0.00275623,0.00107821,0,0.00360577,2.60285,0.283477,1792.4
